drug_name,ndc,form,strength,mfg,acq,awp,pf,dispensed,p._update,rxcui,epc_class,drug_class
CALCIPOTRIEN CRE 0.005%,16714-0763-02,CREA,0.01%,NORTHSTAR,57.99,1052.43,,11/21/2024 0:00,6/10/2024,313921,Vitamin D Analog [EPC],Keratolytic
CEPHALEXIN   CAP 500MG,67877-0219-01,CAPS,500MG,ASCENDLABS,0,197.07,,4/6/2021 0:00,1/25/2022,309114,Cephalosporin Antibacterial [EPC],ABX ORALS
DOXYCYCL HYC TAB 100MG DR,68308-0710-10,TBEC,100MG DR,MAYNE PHAR,375,1312,,0:00:00,4/6/2021,434018,expired,ABX Orals
FINASTERIDE  TAB 1MG,67877-0455-90,TABS,1MG,ASCENDLABS,1.87,223.15,,8/31/2022 0:00,4/6/2021,200172,5-alpha Reductase Inhibitor [EPC],Hair loss
ALLERGY RELF TAB 5MG,69230-0321-10,TABS,5MG,,50.4,353,,0:00:00,8/3/2021,855172,Histamine-1 Receptor Antagonist [EPC],Antihistamines
DAPSONE      GEL 7.5%,51672-5307-08,GEL,7.50%,TARO ,500,884.81,,0:00:00,4/7/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-08,GEL,7.50%,TARO ,500,884.81,,0:00:00,4/7/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-08,GEL,7.50%,TARO ,500,884.81,,0:00:00,4/7/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-08,GEL,7.50%,TARO ,500,884.81,,0:00:00,4/7/2021,1741905,expired,Acne Topical ABX
TRETINOIN    CRE 0.025%,00472-0117-45,CREA,0.03%,ACTAV MID,11,241.56,,11/15/2024 0:00,8/29/2024,106302,Retinoid [EPC],Retinoids: Exfoliant
CLOBETASOL   SPR 0.05%,00574-2063-02,LIQD,0.05%,PERRIGO,4.92,38.4,,0:00:00,4/15/2021,861512,expired,High Potency Topical Steroid
CICLOPIROX   SOL 8%,00713-0317-88,SOLN,8%,COSETTE PH,7.06,60.18,,0:00:00,4/16/2021,309291,expired,Anti-fungal (Nail)
BUDES/FORMOT AER 160-4.5,00310-7370-20,AERO,160-4.5,PRASCO LAB,250,402.96,,0:00:00,4/19/2021,1246304,Corticosteroid [EPC],Steroids
WIXELA INHUB AER 250/50,00378-9321-32,AEPB,250/50,MYLAN,110,449.08,,0:00:00,4/19/2021,2110513,Corticosteroid [EPC],Steroids
DOXYCYCL HYC TAB 50MG DR,51862-0709-12,TBEC,50MG DR,MAYNE PHAR,697,1407.19,,0:00:00,4/22/2021,1653433,expired,ABX Orals
HYDROXYZ HCL TAB 25MG,00093-5061-01,TABS,25MG,TEVA USA,2.25,91.46,,5/1/2024 0:00,11/6/2023,995258,Antihistamine [EPC],Antihistamine
BENZEPRO     MIS 6%,42546-0016-60,MISC,6%,PRUGEN,22,668.19,,2/22/2022 0:00,4/26/2021,1605441,expired,Facewash
DOXYCYC MONO CAP 100MG,63304-0616-50,CAPS,100MG,SUN PHARMA,6.5,118.4,,0:00:00,4/26/2021,1649990,Tetracycline-class Drug [EPC],ABX Orals
PREDNISONE   TAB 5MG,00591-5052-01,TABS,5MG,ACTAVIS PH,2.29,22.61,,8/10/2021 0:00,4/30/2021,312617,Corticosteroid [EPC],Anti-inflammatory
TRETINOIN    GEL 0.05%,68682-0800-45,GEL,0.05%,OCEANSIDE,127.51,337.43,,4/30/2021 0:00,4/30/2021,245723,Retinoid [EPC],Retinoids: Exfoliant
CICLOPIROX   CRE 0.77%,68462-0297-92,CREA,0.77%,GLENMARK,4.39,212.6,,11/22/2024 0:00,9/25/2023,309289,Protein Synthesis Inhibitors [MoA],Anti-fungal
SOD SUL/SULF EMU 10-5%,42192-0136-06,EMUL,10-5%,ACELLA PH,13,104.93,,11/23/2024 0:00,8/29/2024,999613,Sulfonamide Antibacterial [EPC],Facewash
SOD SUL/SULF EMU 10-5%,42192-0136-06,EMUL,10-5%,ACELLA PH,13,104.93,,11/23/2024 0:00,8/29/2024,999613,Sulfonamide Antibacterial [EPC],Facewash
DIFLORASONE  OIN 0.05%,71800-0009-60,OINT,0.05%,INNOVIDA P,42,1132.26,,0:00:00,10/19/2021,966607,Corticosteroid [EPC],High Potency Topical Steroid
LEVOCETIRIZI POW DHCL,15455-0200-01,POWD,DHCL,ALVIX LABO,47,2233,,0:00:00,5/10/2021,1436018,expired,Antihistamine
CICLOPIROX   SHA 1%,45802-0401-09,SHAM,1%,PERRIGO,19.99,93.6,,11/23/2024 0:00,8/29/2024,250344,Protein Synthesis Inhibitors [MoA],Anti-fungal
CLOTRIM/BETA CRE DIPROP,51672-4048-06,CREA,DIPROP,TARO ,4.03,87.77,,0:00:00,12/6/2023,308714,Azole Antifungal [EPC],Anti-fungal
CLOBETASOL   LOT 0.05%,52565-0055-04,LOTN,0.05%,TELIGENT,37,836.67,,0:00:00,5/18/2021,861505,expired,High Potency Topical Steroid
NYSTAT/TRIAM OIN,68462-0799-65,OINT,,GLENMARK,4.46,227.3,,0:00:00,5/18/2021,1053697,Corticosteroid [EPC],Steroids
ECONAZOLE    CRE 1%,52565-0022-85,CREA,1%,TELIGENT,4.49,434.7,,0:00:00,5/18/2021,857366,expired,Anti-fungal
TRETINOIN    CRE 0.05%,51672-1394-09,CREA,0.05%,TARO ,42,211.27,,11/1/2024 0:00,4/15/2022,106303,Retinoid [EPC],Retinoids: Exfoliant
MINOCYCLINE  CAP 75MG,00591-3153-01,CAPS,75MG,ACTAVIS PH,14,197.96,,0:00:00,5/20/2021,314108,Tetracycline-class Drug [EPC],ABX Orals
MINOCYCLINE  TAB 75MG,55111-0638-01,TABS,75MG,DR.REDDY'S,65,639,,0:00:00,5/20/2021,403840,Tetracycline-class Drug [EPC],ABX Orals
DOXYCYC MONO TAB 100MG,00527-1338-25,TABS,100MG,LANNETT,19.99,1016.65,,0:00:00,1/6/2022,1650142,Tetracycline-class Drug [EPC],ABX ORALS
VENEXA FE    TAB,59088-0177-54,TABS,,PURE TEK,550,1930,,5/31/2021 0:00,5/24/2021,2475991,Blood Coagulation Factor [EPC],Contraceptive
KETOCONAZOLE CRE 2%,00093-3219-92,CREA,2%,TEVA USA,8.82,79.12,,2/2/2024 0:00,5/25/2021,203088,Azole Antifungal [EPC],Anti-fungal
KETOPROFEN   CAP 25MG,69336-0127-10,CAPS,25MG,STERLING K,550,1495.5,,0:00:00,5/27/2021,197854,expired,NSAID
LIDOCAINE    PAD 5%,65162-0791-08,PTCH,5%,AMNEAL,38.49,308.27,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,65162-0791-08,PTCH,5%,AMNEAL,38.49,308.27,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,65162-0791-08,PTCH,5%,AMNEAL,38.49,308.27,,0:00:00,11/4/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
DICLOFENAC   DIS 1.3%,55700-0801-30,PTCH,1.30%,QUALITY,134,447.56,,0:00:00,5/27/2021,855626,expired,NSAID
CHLORZOXAZON TAB 375MG,51862-0338-01,TABS,375MG,MAYNE PHAR,186,893.15,,0:00:00,5/27/2021,1088934,expired,Muscle Relaxant
CLOBETASOL E CRE 0.05%,50742-0311-60,CREA,0.05%,INGENUS PH,1.8,272.54,,12/20/2021 0:00,7/27/2021,1992281,expired,Steroids
SOD SUL/SULF EMU 10-5%,42192-0136-08,EMUL,10-5%,ACELLA PH,0,406.88,,0:00:00,6/1/2021,999613,Sulfonamide Antibacterial [EPC],Facewash
SOD SUL/SULF EMU 10-5%,42192-0136-08,EMUL,10-5%,ACELLA PH,0,406.88,,0:00:00,6/1/2021,999613,Sulfonamide Antibacterial [EPC],Facewash
CLOBETASOL   AER 0.05%,00378-8167-01,FOAM,0.05%,MYLAN,45.89,640.76,,0:00:00,6/1/2021,861353,expired,Scalp (topical steroids)
KETOCONAZOLE AER 2%,00378-7007-01,FOAM,2%,MYLAN,317.12,828.98,,2/9/2022 0:00,7/15/2021,728550,expired,Anti-fungal
METAXALONE   TAB 800MG,00591-2341-01,TABS,800MG,ACTAVIS PH,27.55,1003.29,,0:00:00,6/1/2021,351254,Muscle Relaxant [EPC],Muscle Relaxant
LIDOCAINE    OIN 5%,51672-3008-05,OINT,5%,TARO ,8.69,380.93,,0:00:00,6/1/2021,1543069,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    OIN 5%,51672-3008-05,OINT,5%,TARO ,8.69,380.93,,0:00:00,6/1/2021,1543069,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    OIN 5%,51672-3008-05,OINT,5%,TARO ,8.69,380.93,,0:00:00,6/1/2021,1543069,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    OIN 5%,51672-3008-05,OINT,5%,TARO ,8.69,380.93,,0:00:00,6/1/2021,1543069,Amide Local Anesthetic [EPC],Pain Relief
OMEPRA/BICAR POW 40-1680,27241-0030-31,PACK,40-1680,AJANTA PHA,358.95,3145.08,,0:00:00,6/1/2021,753557,Proton Pump Inhibitor [EPC],Anti-inflammatory
SCARCINPAD   MIS,69420-8001-01,SHEE,,SA3  ,200.01,5726.44,,0:00:00,6/1/2021,2049642,expired,Moisturizer
BUT/APAP/CAF TAB,69367-0203-05,TABS,,WESTMINST,39.99,801.56,,0:00:00,6/1/2021,238154,Barbiturate [EPC],Headaches
NAFTIFINE    CRE HCL 2%,00115-1512-58,CREA,HCL 2%,AMNEAL,72,534.01,,0:00:00,6/2/2021,1246096,expired,Anti-fungal
ventrixyl,59088-0186-54,TAB,,PURE TEK,550,2250,,10/11/2021 0:00,6/7/2021,2562677,Blood Coagulation Factor [EPC],Other
MORGIDOX     CAP 1X100MG,43538-0600-30,CAPS,1X100MG,MEDIMETRIK,661.38,708.41,,0:00:00,6/8/2021,1101055,expired,Antibiotic
DRYSOL       SOL 20%,00096-0707-35,SOLN,20%,,7.82,10.2,,7/20/2022 0:00,2/18/2023,206208,expired,Hyperhydrosis
MUPIROCIN    OIN 2%,45802-0112-22,OINT,2%,PERRIGO,1.1,11.25,,11/8/2023 0:00,6/11/2021,106346,RNA Synthetase Inhibitor Antibacterial [EPC],Topical ABX
METHOTREXATE TAB 2.5MG,00054-4550-15,TABS,2.5MG,HIKMA,2.99,145.8,,4/28/2022 0:00,6/11/2021,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00054-4550-15,TABS,2.5MG,HIKMA,2.99,145.8,,4/28/2022 0:00,6/11/2021,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00054-4550-15,TABS,2.5MG,HIKMA,2.99,145.8,,4/28/2022 0:00,6/11/2021,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
METHOTREXATE TAB 2.5MG,00054-4550-15,TABS,2.5MG,HIKMA,2.99,145.8,,4/28/2022 0:00,6/11/2021,105585,Folate Analog Metabolic Inhibitor [EPC],Immunosuppressant
TAZAROTENE   CRE 0.1%,51672-1373-02,CREA,0.10%,TARO ,31.09,389.83,,6/18/2024 0:00,8/29/2024,313200,Retinoid [EPC],Retinoids: Exfoliant
DESONIDE     OIN 0.05%,21922-0004-07,OINT,0.05%,ENCUBE ETH,7.06,321.14,,10/29/2024 0:00,10/3/2023,204135,Corticosteroid [EPC],Low Potency Topical Steroid
DOXYCYCL HYC CAP 100MG,00172-2985-48,CAPS,100MG,IVAX PHARM,1,70.21,,6/24/2021 0:00,6/24/2021,1649988,expired,ABX ORALS
DERMACINRX   CAP PROBITRA,59088-0183-54,CAPS,PROBITRA,PURE TEK,550,1962,,9/10/2021 0:00,6/30/2021,379823,expired,Supplement
DERMALID     PAK,72275-0732-77,THPK,,PRIMARY PH,350,1875,,0:00:00,6/25/2021,1745091,expired,Other
TRIANEX      OIN 0.05%,67857-0806-19,OINT,0.05%,ENCORE DER,295,1083.6,,0:00:00,8/12/2021,1110806,expired,Low Potency Topical Steroid
ERGOT/CAFFEN TAB 1-100MG,24470-0917-10,TABS,1-100MG,CINTEX,395,1387.78,,11/8/2024 0:00,8/29/2024,1293504,Central Nervous System Stimulant [EPC],Migraine Treatment
DIHYDROERGOT SPR 4MG/ML,24201-0463-08,SOLN,4MG/ML,LEUCADIA P,215,4112.26,,0:00:00,7/2/2021,861668,Ergotamine Derivative [EPC],Migraine Treatment
DIHYDROERGOT SPR 4MG/ML,24201-0463-08,SOLN,4MG/ML,LEUCADIA P,215,4112.26,,0:00:00,7/2/2021,861668,Ergotamine Derivative [EPC],Migraine Treatment
DIHYDROERGOT SPR 4MG/ML,69097-0503-27,SOLN,4MG/ML,CIPLA USA,185,4112.26,,8/30/2021 0:00,7/7/2021,861668,Ergotamine Derivative [EPC],Migraine Treatment
DIHYDROERGOT SPR 4MG/ML,69097-0503-27,SOLN,4MG/ML,CIPLA USA,185,4112.26,,8/30/2021 0:00,7/7/2021,861668,Ergotamine Derivative [EPC],Migraine Treatment
MELOXICAM    CAP 5MG,70954-0076-10,CAPS,5MG,NOVITIUM P,335,931.56,,0:00:00,7/2/2021,1722349,Nonsteroidal Anti-inflammatory Drug [EPC],Anti-inflammatory
DOXYCYCL HYC CAP 100MG,69238-1100-05,CAPS,100MG,AMNEAL,49.99,4807.76,,0:00:00,7/5/2021,1649988,Tetracycline-class Drug [EPC],ABX ORALS
DOXYCYCL HYC CAP 100MG,53489-0119-05,CAPS,100MG,SUN PHARMA,31.25,3073.46,,0:00:00,7/5/2021,1649988,Tetracycline-class Drug [EPC],ABX ORALS
FLUOCINONIDE GEL 0.05%,51672-1279-03,GEL,0.05%,TARO ,29.45,238.21,,0:00:00,7/5/2021,310362,Corticosteroid [EPC],Steroids
VALACYCLOVIR TAB 500MG,00378-4275-93,TABS,500MG,MYLAN,5.19,216.72,,10/14/2024 0:00,7/6/2021,313565,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Antiviral
CALCIPOTRIEN OIN BETAMETH,45802-0816-01,OINT,BETAMETH,PERRIGO,179,1162.08,,0:00:00,8/24/2021,388525,Corticosteroid [EPC],Steroids
CALCIPOTRIEN OIN BETAMETH,45802-0816-01,OINT,BETAMETH,PERRIGO,179,1162.08,,0:00:00,8/24/2021,388525,Corticosteroid [EPC],Steroids
CLEMASTINE   SYP 0.5/5ML,73308-0358-12,SYRP,0.5/5ML,AYURAX,425,2143.54,,9/16/2024 0:00,9/4/2024,857430,unknown,Antihistamines
SALICYLIC AC GEL 6%,42192-0134-40,GEL,6%,ACELLA PH,217,356.03,,0:00:00,12/27/2022,312893,unknown,Keratolytic
SULCONAZOLE  CRE 1%,72143-0311-60,CREA,1%,JG PHARMA,0,639.02,,0:00:00,7/16/2021,106366,Azole Antifungal [EPC],Anti-fungal
SULCONAZOLE  SOL 1%,72143-0321-30,SOLN,1%,JG PHARMA,260.42,416.66,,0:00:00,10/18/2021,313125,Azole Antifungal [EPC],Anti-fungal
LEVOCETIRIZI TAB 5MG,42571-0122-90,TABS,5MG,MICRO LAB,2.4,276.89,,4/10/2023 0:00,2/23/2023,855172,Histamine-1 Receptor Antagonist [EPC],Antihistamines
CARBINOXAMIN TAB 6MG,69067-0240-20,TABS,6MG,FOXLAND,565,1180,,0:00:00,5/4/2022,1795581,Histamine-1 Receptor Antagonist [EPC],Antihistamines
DESLORATADIN TAB 5MG,68180-0153-01,TABS,5MG,LUPIN PHRM,19.39,501.83,,0:00:00,8/3/2021,349420,Histamine-1 Receptor Antagonist [EPC],Antihistamines
CYPROHEPTAD  TAB 4MG,00115-1757-01,TABS,4MG,AMNEAL,11.19,160.73,,0:00:00,8/3/2021,866144,unknown,Antihistamines
IVERMECTIN   TAB 3MG,42799-0806-01,TABS,3MG,EDENBRIDGE,68,99.38,,11/20/2024 0:00,7/27/2023,311207,Antiparasitic [EPC],Scabies
HALOBETASOL  OIN 0.05%,45802-0131-32,OINT,0.05%,PERRIGO,14.62,191.35,,11/23/2024 0:00,8/29/2024,977978,Corticosteroid [EPC],High Potency Topical Steroid
SELENIUM SUL SHA 2.25%,70156-0111-18,SHAM,2.25%,NOBLE PHAR,15.09,157.75,,0:00:00,8/6/2021,706548,expired,Scalp Topical Steroids
SELENIUM SUL SHA 2.25%,70156-0111-18,SHAM,2.25%,NOBLE PHAR,15.09,157.75,,0:00:00,8/6/2021,706548,expired,Scalp Topical Steroids
SPINOSAD     SUS 0.9%,28595-0570-04,SUSP,0.90%,ALLEGIS,262.82,317.29,,0:00:00,10/19/2021,1085816,Pediculicide [EPC],Scabicide
HYDROCORT    CRE 2.5%,00168-0080-31,CREA,2.50%,FOUGERA,2.13,11,,12/1/2023 0:00,8/11/2021,310891,Corticosteroid [EPC],Medium Potency Topical Steroid
DESONIDE     CRE 0.05%,00713-0661-60,CREA,0.05%,COSETTE PH,7.94,321.14,,11/20/2024 0:00,8/29/2024,349351,Corticosteroid [EPC],Low Potency Topical Steroid
LIDOGEL      GEL 2.8%,59088-0466-07,GEL,2.80%,PURE TEK,199,1895,,0:00:00,9/14/2023,2562183,Amide Local Anesthetic [EPC],Pain Relief
MYcOZYL AL    SOL 1%,59088-0443-03,SOLN,1%,PURE TEK,750,2250,,12/31/2021 0:00,8/12/2021,313423,unknown,Antifungal
XUREA        CRE 39%,72678-0034-01,CREA,39%,NATIONAL B,525,2710,,0:00:00,8/16/2021,1093289,expired,Keratolytic
ADAPALENE    PAD 0.1%SWAB,49908-0118-14,PADS,0.1%SWAB,ROCHESTER,585,1470,,0:00:00,4/8/2024,798061,Retinoid [EPC],Retinoids: Exfoliant
LIDOCAINE    CRE 3%,69367-0202-85,CREA,3%,WESTMINST,40,174.69,,0:00:00,8/17/2021,1010835,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    CRE 3%,69367-0202-85,CREA,3%,WESTMINST,40,174.69,,0:00:00,8/17/2021,1010835,Amide Local Anesthetic [EPC],Pain Relief
XVITE        TAB,69067-0040-30,TABS,,FOXLAND,0,1956,,0:00:00,8/17/2021,348025,expired,Multivitamin
METAXALONE   TAB 400MG,69336-0130-01,TABS,400MG,STERLING K,0,987.25,,0:00:00,8/17/2021,197935,expired,Muscle Relaxant
NORGESIC     TAB FORTE,50991-0999-60,TABS,FORTE,POLY ,575,2340,,0:00:00,8/18/2021,994537,Central Nervous System Stimulant [EPC],Pain Relief
ORPH/ASA/CAF TAB,74157-0999-60,TABS,,INA PHARMA,259,1690,,0:00:00,2/23/2022,994535,expired,Pain Relief
ORPH/ASA/CAF TAB,74157-0999-60,TABS,,INA PHARMA,259,1690,,0:00:00,2/23/2022,994535,expired,Pain Relief
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL 1%,51672-1399-03,GEL,1%,TARO ,9.49,149.36,,7/28/2022 0:00,3/25/2022,2676585,Lincosamide Antibacterial [EPC],Acne Topical ABX
FLUOCIN ACET OIL SCALP,68462-0590-89,OIL,SCALP,GLENMARK,10.08,223.05,,9/6/2022 0:00,2/18/2022,1191307,Corticosteroid [EPC],Scalp: (topical steroids)
LIDOCAINE    OIN 5%,52565-0008-14,OINT,5%,TELIGENT,4.43,316.66,,0:00:00,8/20/2021,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,52565-0008-14,OINT,5%,TELIGENT,4.43,316.66,,0:00:00,8/20/2021,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,52565-0008-14,OINT,5%,TELIGENT,4.43,316.66,,0:00:00,8/20/2021,1543069,expired,Pain Relief
LIDOCAINE    OIN 5%,52565-0008-14,OINT,5%,TELIGENT,4.43,316.66,,0:00:00,8/20/2021,1543069,expired,Pain Relief
LIDOCAINE    CRE 4%,52565-0122-30,CREA,4%,TELIGENT,7.25,33.6,,0:00:00,8/20/2021,1421893,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,00591-2070-30,CREA,2.5-2.5%,ACTAVIS PH,3.5,53.13,,0:00:00,8/20/2021,197877,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,00591-2070-30,CREA,2.5-2.5%,ACTAVIS PH,3.5,53.13,,0:00:00,8/20/2021,197877,expired,Pain Relief
LIDO/PRILOCN CRE 2.5-2.5%,00591-2070-30,CREA,2.5-2.5%,ACTAVIS PH,3.5,53.13,,0:00:00,8/20/2021,197877,expired,Pain Relief
LIDOCAINE    CRE 3%,69367-0202-01,CREA,3%,WESTMINST,9,59.69,,0:00:00,8/20/2021,1010835,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    CRE 3%,69367-0202-01,CREA,3%,WESTMINST,9,59.69,,0:00:00,8/20/2021,1010835,Amide Local Anesthetic [EPC],Pain Relief
DERMACINRX   TAB RIBOT-E,59088-0182-58,TABS,RIBOT-E,PURE TEK,550,1740,,0:00:00,8/20/2021,90,Blood Coagulation Factor [EPC],Anti-fungal
FLUOPAR      KIT,59088-0754-00,KIT,,PURE TEK,1050,3735,,0:00:00,8/23/2021,197311,unknown,Diagnostic Kit
FOLITIN-Z    TAB,59088-0181-58,TABS,,PURE TEK,475,1740,,0:00:00,8/23/2021,405770,Blood Coagulation Factor [EPC],Supplement (Folitin-Z)
DERMACINRX   CRE PENETRAL,59088-0310-16,CREA,PENETRAL,PURE TEK,145,1500,,0:00:00,8/23/2021,198555,unknown,Other
DERMACINRX   CRE PENETRAL,59088-0310-16,CREA,PENETRAL,PURE TEK,145,1500,,0:00:00,8/23/2021,198555,unknown,Moisturizer
XRYLIX       PAK,59088-0365-00,THPK,,PURE TEK,1225,4961.96,,0:00:00,8/23/2021,857700,expired,Other
DICLOFENAC   SOL 1.5%,59088-0372-10,SOLN,1.50%,PURE TEK,120,1635,,0:00:00,8/23/2021,857700,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DICLOTREX    PAK,59088-0716-00,THPK,,PURE TEK,1050,4091,,0:00:00,8/23/2021,898723,expired,Other
NUVAKAAN II  KIT,59088-0758-00,KIT,,PURE TEK,475,1823.5,,0:00:00,8/23/2021,197877,expired,Anti-fungal Nail
DERMACINRX   PAK ZRM,59088-0805-00,THPK,ZRM,PURE TEK,1200,3497.1,,0:00:00,8/23/2021,898723,unknown,Other
LIOTHYRONINE TAB 25MCG,62756-0590-88,TABS,25MCG,SUN PHARMA,28.11,104.07,,0:00:00,8/23/2021,903697,l-Triiodothyronine [EPC],Supplement
MIGRANOW     PAK,59088-0083-00,THPK,,PURE TEK,700,3888.66,,0:00:00,8/23/2021,1484487,unknown,Migraine Treatment
MUPIROCIN    CRE 2%,68462-0564-35,CREA,2%,GLENMARK,79.25,415.56,,0:00:00,8/23/2021,311877,RNA Synthetase Inhibitor Antibacterial [EPC],Biopsy Topical ABX
AUG BETAMET  LOT 0.05%,52565-0023-29,LOTN,0.05%,TELIGENT,10,95.46,,0:00:00,8/24/2021,848178,expired,High Potency Topical Steroid
FLUOCINONIDE OIN 0.05%,51672-1264-03,OINT,0.05%,TARO ,8.67,283,,2/8/2024 0:00,2/8/2024,103457,Corticosteroid [EPC],Steroids
FLUOCIN ACET SOL 0.01%,51672-1365-04,SOLN,0.01%,TARO ,13.58,187.5,,0:00:00,8/24/2021,1191310,Corticosteroid [EPC],Steroids
SULFACETAMID LOT 10%,68682-0010-04,LOTN,10%,OCEANSIDE,54,188.4,,0:00:00,8/24/2021,1006688,Sulfonamide Antibacterial [EPC],Antibiotic
DOXYCYCL HYC CAP 100MG,62135-0985-05,CAPS,100MG,CHARTWELL,31.18,1640.99,,0:00:00,8/24/2021,1649988,Tetracycline-class Drug [EPC],ABX ORALS
DOXYCYCL HYC CAP 100MG,00143-9803-50,CAPS,100MG,HIKMA,33.95,276.61,,0:00:00,8/25/2021,1649988,Tetracycline-class Drug [EPC],ABX ORALS
FOLIC ACID   TAB 1MG,11534-0165-03,TABS,1MG,SUNRISE PH,12.5,76.8,,4/22/2022 0:00,8/25/2021,310410,unknown,Supplement (Folic Acid)
FOLIC ACID   TAB 1MG,11534-0165-03,TABS,1MG,SUNRISE PH,12.5,76.8,,4/22/2022 0:00,8/25/2021,310410,unknown,Supplement (Folic Acid)
FOLIC ACID   TAB 1MG,11534-0165-03,TABS,1MG,SUNRISE PH,12.5,76.8,,4/22/2022 0:00,8/25/2021,310410,unknown,Supplement (Folic Acid)
DOXYCYCLINE  CAP 40MG,66993-0815-30,CPDR,40MG,PRASCO LAB,498.75,748.24,,0:00:00,8/25/2021,901399,Tetracycline-class Drug [EPC],ABX Orals
TETRACYCLINE CAP 500MG,23155-0767-01,CAPS,500MG,AVET PHARM,46.78,1575,,0:00:00,8/25/2021,198252,Tetracycline-class Antimicrobial [EPC],ABX Orals
IVERMECTIN   CRE 1%,00591-4052-89,CREA,1%,ACTAVIS PH,164.95,720.14,,0:00:00,8/25/2021,1598068,Antiparasitic [EPC],Rosacea Topical ABX
CLINDAMYCIN  GEL TRETINOI,00472-1790-30,GEL,TRETINOI,ACTAV MID,314.21,396.36,,0:00:00,8/29/2024,882548,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL TRETINOI,00472-1790-30,GEL,TRETINOI,ACTAV MID,314.21,396.36,,0:00:00,8/29/2024,882548,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL TRETINOI,00472-1790-30,GEL,TRETINOI,ACTAV MID,314.21,396.36,,0:00:00,8/29/2024,882548,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL TRETINOI,00472-1790-30,GEL,TRETINOI,ACTAV MID,314.21,396.36,,0:00:00,8/29/2024,882548,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  GEL TRETINOI,00472-1790-30,GEL,TRETINOI,ACTAV MID,314.21,396.36,,0:00:00,8/29/2024,882548,Lincosamide Antibacterial [EPC],Acne Topical ABX
TRETINOIN    GEL 0.025%,00574-2325-45,GEL,0.03%,PADAGIS,79,189.84,,0:00:00,8/25/2021,313451,Retinoid [EPC],Retinoids: Exfoliant
DESOXIMETASO SPR 0.25%,51672-1396-07,LIQD,0.25%,TARO ,52,591.06,,0:00:00,9/1/2021,1376338,Corticosteroid [EPC],Steroids
PROFOLA      TAB,71741-0141-30,TABS,,REDMONT,500,1930,,0:00:00,9/10/2021,1538052,expired,Other
CLINDAMYCIN  LOT 1%,51672-1400-04,LOTN,1%,TARO ,11.65,120.18,,8/9/2024 0:00,8/30/2024,197519,Lincosamide Antibacterial [EPC],Rosacea Topical ABX
CALCIPOTRIEN SOL 0.005%,00115-1475-55,SOLN,0.01%,AMNEAL,22.99,339.98,,0:00:00,9/15/2021,340724,expired,Immune Response Mod
